Sample:	'20211010A(EM)
File name:	r-cds 1;15 2.FDS
Run date:	'08:09:17, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
738.2	68.31
738.4	64.61
738.6	60.47
738.8	61.77
739.0	64.10
739.2	69.36
739.4	69.89
739.6	67.76
739.8	66.02
740.0	65.52
740.2	64.56
740.4	63.36
740.6	64.40
740.8	65.05
741.0	65.61
741.2	66.43
741.4	63.77
741.6	58.68
741.8	61.80
742.0	60.36
742.2	59.78
742.4	61.84
742.6	60.90
742.8	58.91
743.0	60.11
743.2	60.76
743.4	63.39
743.6	64.15
743.8	63.74
744.0	61.64
744.2	58.57
744.4	58.43
744.6	57.21
744.8	57.63
745.0	57.98
745.2	57.26
745.4	55.01
745.6	56.37
745.8	57.25
746.0	59.10
746.2	58.12
746.4	58.00
746.6	53.58
746.8	53.84
747.0	56.04
747.2	52.52
747.4	52.12
747.6	54.00
747.8	55.79
748.0	58.88
748.2	59.55
748.4	54.35
748.6	51.99
748.8	50.22
749.0	50.26
749.2	49.96
749.4	51.05
749.6	52.89
749.8	53.05
750.0	53.10
750.2	51.61
750.4	50.22
750.6	52.76
750.8	54.30
751.0	54.55
751.2	52.18
751.4	50.43
751.6	49.10
751.8	49.98
752.0	49.36
752.2	51.11
752.4	48.54
752.6	47.69
752.8	44.32
753.0	43.67
753.2	42.64
753.4	45.63
753.6	45.77
753.8	47.86
754.0	48.23
754.2	49.95
754.4	47.86
754.6	45.76
754.8	41.18
755.0	40.89
755.2	41.86
755.4	43.92
755.6	45.51
755.8	44.05
756.0	42.59
756.2	41.75
756.4	42.61
756.6	42.71
756.8	44.40
757.0	42.74
